candidate_id,name,organizer,region,source_type,url,target_url,platform,public_access,login_required,robots,terms,rendering,latest_post,upcoming_event,date_available,time_available,venue_available,fee_available,dj_available,collector_difficulty,current_dancemate_source,current_source_tier,recommended_tier,decision,reason,notes
CAND-TANGO-011,Tango O Nada 구 공식 웹,Tango O Nada,서울,OFFICIAL_VENUE,http://www.milonga.kr,http://www.milonga.kr,LEGACY_WEB,PUBLIC,NO,NONE,UNKNOWN,EMPTY_HTML,UNKNOWN,NONE,NO,NO,NO,NO,NO,HIGH,NO,NONE,NONE,REJECT,NO_EVENT_DATA,Facebook 페이지가 연결하는 레거시 주소이나 실질 콘텐츠가 없음.
CAND-TANGO-012,Tango Andante 공식 페이지,Tango Andante,서울,OFFICIAL_VENUE,https://www.facebook.com/tango.andante,https://www.facebook.com/tango.andante,FACEBOOK_PROFILE,PUBLIC_VIEW_PARTIAL,PROMPTED,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,UNKNOWN,2026-09-08 orange_DIRECTORY_ONLY,NO_DIRECT,NO_DIRECT,PROFILE_ONLY,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,FACEBOOK_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,Miltang orange 공지의 공식 링크. exact 행사 본문은 비로그인 DOM에서 확인되지 않음.
CAND-TANGO-013,EN PAZ / Nova Tango Cafe,EN PAZ,서울,OFFICIAL_VENUE,https://cafe.naver.com/novatango,https://cafe.naver.com/novatango,NAVER_CAFE,PARTIAL,YES_DETAIL,BLOCKED,AI_TRAINING_AND_RAG_ACCESS_PROHIBITED_IN_ROBOTS,SSR_SHELL_LOCKED_DETAIL,2026-08-30_APPROX,2026-09-08 화엔쁘락_AGGREGATOR_ONLY,NO_DIRECT,NO_DIRECT,YES,NO,NO,PROHIBITED,NO,DIRECTORY_TANGONOW,NONE,REJECT,ROBOTS_BLOCKED_AND_LOGIN_REQUIRED,과거 공개 스니펫에 화엔쁘 일정이 보이지만 robots.txt가 / 전체를 차단. 9/8 exact 공지는 direct URL 미확인.
CAND-TANGO-014,Tango Club OCHO 공식 페이지,OCHO,서울,OFFICIAL_VENUE,https://www.facebook.com/ocho.tango.5,https://www.facebook.com/ocho.tango.5,FACEBOOK_PROFILE,PUBLIC_VIEW_PARTIAL,NO_FOR_SHELL,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,2026-09-07,2026-09-07~2026-09-13 weekly schedule image,IMAGE_ONLY,IMAGE_ONLY,YES,IMAGE_ONLY,IMAGE_ONLY,PROHIBITED,YES_SRC-F-001_ACCESS_LIMITED,PRIMARY_VENUE_ACCESS_LIMITED,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,FACEBOOK_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,까사밀롱가가 포함될 가능성이 높은 주간 포스터는 확인했으나 exact 필드가 텍스트 DOM에 없음. sources.json은 URL 없이 ACCESS_LIMITED.
CAND-TANGO-015,Milonga Casa Facebook Group,Milonga Casa,서울,ORGANIZER_PRIMARY,https://www.facebook.com/groups/milongacasa,https://www.facebook.com/groups/milongacasa,FACEBOOK_GROUP,PRIVATE_OR_LOGIN,YES,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_ONLY_PRIVATE,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,PROHIBITED,NO,DIRECTORY_TANGO_CALENDAR,NONE,REJECT,PRIVATE_COMMUNITY_AND_FACEBOOK_TERMS,로그인/그룹 접근 우회 금지.
CAND-TANGO-016,El Bulin Tango Daum 공지,헝얏 & 화이,서울,ORGANIZER_MIRROR,https://m.cafe.daum.net/elbulin,https://m.cafe.daum.net/elbulin/HryN,DAUM_CAFE_MOBILE,PUBLIC,NO,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2026-08-22,2026-09~10 TangoClass schedules,YES,YES,YES,YES,NO,LOW,NO,PROMOTION_REPOST,SECONDARY_MIRROR,REFERENCE_ONLY,DUPLICATE_OF_TANGOCLASS_OFFICIAL_WORDPRESS,샘플 /HryN/498. 장애 대응용 미러로만 보존하고 공식 사이트를 Primary로 권고.
CAND-TANGO-017,Cafe de Tango,Cafe de Tango,서울,OFFICIAL_VENUE,https://m.cafe.daum.net/cafedetango,https://m.cafe.daum.net/cafedetango,DAUM_CAFE_MOBILE,PARTIAL,YES_DETAIL,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_LIST_LOCKED_DETAIL,2026-08-13,2026-10 item visible in list,TITLE_ONLY,NO,NAME_ONLY,NO,NO,PROHIBITED,NO_PREVIOUSLY_MONITORED,NONE,NONE,REJECT,LOGIN_REQUIRED_FOR_DETAIL,기존 후보와 중복 재검증.
CAND-TANGO-018,Busan Tango Club,Busan Tango Club,부산,COMMUNITY,https://m.cafe.daum.net/pusantango,https://m.cafe.daum.net/pusantango/6CEj,DAUM_CAFE_MOBILE,PARTIAL,YES_DETAIL,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_LIST_LOCKED_DETAIL,2026-09-05,La Vida list item,TITLE_ONLY,NO,NO,NO,NO,PROHIBITED,NO,UNKNOWN,NONE,REJECT,LOGIN_REQUIRED_FOR_DETAIL,샘플 /6CEj/2431은 회원 등급 필요. 부산 직접 수집 공백을 해소하지 못함.
CAND-TANGO-019,Jinju Tango People,Jinju Tango People,경남 진주,COMMUNITY,https://m.cafe.daum.net/jinjutangopeople,https://m.cafe.daum.net/jinjutangopeople/nx69,DAUM_CAFE_MOBILE,PARTIAL,YES_DETAIL,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_LIST_LOCKED_DETAIL,2026-08-24,2026-09-12 event title,TITLE_ONLY,NO,NO,NO,NO,PROHIBITED,NO,UNKNOWN,NONE,REJECT,LOGIN_REQUIRED_FOR_DETAIL,샘플 /nx69/731은 정회원 등급 필요.
CAND-TANGO-020,청주 La Plata Tango,La Plata,충북 청주,COMMUNITY,https://m.cafe.daum.net/Cjtango,https://m.cafe.daum.net/Cjtango,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2026-08-07,NONE_VERIFIED_AFTER_2026-09-08,MIXED,MIXED,MIXED,MIXED,MIXED,MEDIUM,NO,UNKNOWN,MONITOR_ONLY,MONITOR,NO_CURRENT_UPCOMING_EVENT,최근 공개 공지는 8월 행사로 현재 기준 과거. 공개 상세가 다시 활성화되는지 모니터링.
CAND-TANGO-021,Azucar Daejeon,Azucar,대전,OFFICIAL_VENUE,https://m.cafe.daum.net/azucar,https://m.cafe.daum.net/azucar/6eBy,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2026-08_SCHEDULE,NONE_VERIFIED_FOR_SEPTEMBER,YES_PAST,YES_PAST,YES_PAST,MIXED,MIXED,MEDIUM,NO,DIRECTORY_LINKED,MONITOR_ONLY,MONITOR,NO_VERIFIED_CURRENT_MONTH_POST,8월 일정 샘플 /6eBy/907은 공개. 9월 공지 및 최신 목록 안정성 미확인.
CAND-TANGO-022,ConTango Club,ConTango,광주,COMMUNITY,https://m.cafe.daum.net/contangoclub,https://m.cafe.daum.net/contangoclub,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2025-11-18,NONE,NO_CURRENT,NO_CURRENT,NO_CURRENT,NO,NO,MEDIUM,NO,NONE,NONE,REJECT,NO_RECENT_EVENTS,광주 후보이나 2026년 현재 활동 증거 없음.
CAND-TANGO-023,Tango Urquiza,Tango Urquiza,충북 청주,COMMUNITY,https://m.cafe.daum.net/tangourquiza,https://m.cafe.daum.net/tangourquiza,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2025-06-24,NONE,NO_CURRENT,NO_CURRENT,YES_PROFILE,NO,NO,MEDIUM,NO,NONE,NONE,REJECT,NO_RECENT_EVENTS,최근 행사 공지 부재.
CAND-TANGO-024,Tango Namoo,Tango Namoo,대전,COMMUNITY,https://m.cafe.daum.net/tangonamoo,https://m.cafe.daum.net/tangonamoo,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2025-08-10,NONE,NO_CURRENT,NO_CURRENT,NO_CURRENT,NO,NO,MEDIUM,NO,NONE,NONE,REJECT,NO_RECENT_EVENTS,현재 활동 근거 없음.
CAND-TANGO-025,Daejeon JYT,Daejeon JYT,대전,COMMUNITY,https://m.cafe.daum.net/daejeontango,https://m.cafe.daum.net/daejeontango,DAUM_CAFE_MOBILE,PUBLIC_PARTIAL,MIXED,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,2024-11,NONE,NO_CURRENT,NO_CURRENT,NO_CURRENT,NO,NO,MEDIUM,NO,NONE,NONE,REJECT,NO_RECENT_EVENTS,장기 비활성.
CAND-TANGO-026,Tango Mio en Busan,Tango Mio,부산,ORGANIZER_PRIMARY,https://m.cafe.daum.net/Tangomioenbusan,https://m.cafe.daum.net/Tangomioenbusan,DAUM_CAFE_MOBILE,PARTIAL,UNKNOWN,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_EMPTY_LIST,UNKNOWN,Miltang-linked Milonga Mio only,NO_DIRECT,NO_DIRECT,NO_DIRECT,NO,NO,HIGH,NO,DIRECTORY_MILTANG,MONITOR_ONLY,MONITOR,NO_PUBLIC_EVENT_DATA_VERIFIED,디렉터리의 공식 링크로 확인되나 공개 목록에서 행사 데이터가 노출되지 않음.
CAND-TANGO-027,Tango Academy Korea,Tango Academy,서울,ORGANIZER_PRIMARY,https://tangoacademy.kr/,https://tangoacademy.kr/,INDEPENDENT_WEB,PUBLIC,NO,ALLOW,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_STATIC,2026-09-04_MODIFIED,2026-10 class schedule,YES,YES,YES,MIXED,NO,MEDIUM,NO,NONE,ORGANIZER_SECONDARY,ADD_LATER,CURRENT_BUT_CLASS_FOCUSED_AND_NO_STABLE_EVENT_LIST,공개 정적 홈페이지. RSS endpoint가 실질 feed를 제공하지 않아 변경 감지와 항목 분리가 필요.
CAND-TANGO-028,Modoo Tango Blog,Modoo Tango,서울,ORGANIZER_PRIMARY,https://blog.modootango.com/,https://blog.modootango.com/feed,TISTORY_RSS,PUBLIC,NO,PARTIAL_PLATFORM_RULES,PLATFORM_TERMS_REVIEW_REQUIRED,RSS_IMAGE_HEAVY,2026-08-19,current timetable image,IMAGE_ONLY,IMAGE_ONLY,YES,IMAGE_ONLY,IMAGE_ONLY,MEDIUM_HIGH_OCR,NO,NONE,ORGANIZER_SECONDARY,ADD_LATER,PUBLIC_RSS_BUT_EVENT_FIELDS_ARE_IMAGE_HEAVY,OCR fallback가 준비된 이후 적합. 텍스트만으로는 일정 정규화 품질이 낮음.
CAND-TANGO-029,Korea Tango Cooperative,Korea Tango Cooperative,전국,ORGANIZER_PRIMARY,https://koreatango.co.kr/,https://koreatango.co.kr/,INDEPENDENT_WEB,PUBLIC,NO,ALLOW_PREVIOUSLY_VALIDATED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,NO_RECENT_EVENT_VERIFIED,NONE_VERIFIED,NO_CURRENT,NO_CURRENT,NO_CURRENT,NO_CURRENT,NO_CURRENT,MEDIUM,NO_PREVIOUS_CANDIDATE,NONE,MONITOR_ONLY,MONITOR,NO_RECENT_EVENT_ACTIVITY,기존 후보와 중복. 활동 재개 시 재평가.
CAND-TANGO-030,Solo Tango 외부홍보게시판(파티),Solo Tango community,전국,COMMUNITY_PROMOTION,https://m.cafe.daum.net/latindance,https://m.cafe.daum.net/latindance/5HTC,DAUM_CAFE_MOBILE,PUBLIC,NO_FOR_PUBLIC_POSTS,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,SSR_HTML,CURRENT_SOURCE,MULTIPLE,MIXED,MIXED,MIXED,MIXED,MIXED,EXISTING,YES_SRC-D-001,SECONDARY,KEEP_EXISTING_SECONDARY,REFERENCE_ONLY,ALREADY_REGISTERED_NOT_A_NEW_DIRECT_SOURCE,신규 후보 중복 방지용 기준 행. 이번 조사에서 DB/config 변경하지 않음.
CAND-TANGO-031,Tango Club Ocho Instagram,OCHO,서울,OFFICIAL_VENUE,https://www.instagram.com/tango_club_ocho/,https://www.instagram.com/tango_club_ocho/,INSTAGRAM_PROFILE,PUBLIC_VIEW_PARTIAL,NO_FOR_PROFILE_VIEW,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,2026-08-06,unknown - no structured event text visible without login,NO,NO,NO,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,INSTAGRAM_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,"[v0.85.3 REVERIFIED 2026-09-08] Public profile view (592 followers) but no linked website/Linktree; captions/dates not extractable without login. Same Terms posture as Facebook - treated identically."
CAND-TANGO-032,Milonga CASA (까사밀롱가) Facebook Group,Geff Kim Taehwan,서울,ORGANIZER_PRIMARY,https://www.facebook.com/groups/milongacasa,https://www.facebook.com/groups/milongacasa,FACEBOOK_GROUP,PRIVATE_OR_LOGIN,YES,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_ONLY_PRIVATE,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,NONE,REJECT,PRIVATE_COMMUNITY_AND_FACEBOOK_TERMS,"[v0.85.3 REVERIFIED 2026-09-08] Same group as v0.85.1's CAND-TANGO-015 (Section 8 target: 까사밀롱가's real organizer, confirmed via 나무위키 밀롱가 page - held at Ocho, weekly Tue 20:00-24:00, organizer Geff Kim Taehwan). Ownership confirmed distinct from OCHO the venue (Section 10 safety) - still REJECT, private group unchanged."
CAND-TANGO-033,PISTA - tangoinkorea Daum Cafe,Unknown,서울,DIRECTORY,https://cafe.daum.net/tangoinkorea,https://m.cafe.daum.net/tangoinkorea,DAUM_CAFE_MOBILE,PRIVATE_OR_LOGIN,YES,PARTIAL_LIST_READ_ALLOWED,NO_EXPLICIT_COLLECTION_PROHIBITION_FOUND,LOGIN_REDIRECT,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,PROHIBITED,NO,DIRECTORY_TANGONOW,NONE,REJECT,LOGIN_REQUIRED_FOR_ANY_ACCESS,"[v0.85.3 REVERIFIED 2026-09-08] New lead this round (Section 11 target: PISTA aggregator-only gap, e.g. 'Abrazo 밀롱가'). Mobile board URL redirects straight to logins.daum.net before any list content loads - fails ADD_NOW gate immediately, no partial list access unlike SRC-D-001/002/003's own cafe."
CAND-TANGO-034,Tango Andante Facebook (reverified),Tango Andante,서울,OFFICIAL_VENUE,https://www.facebook.com/tango.andante/,https://www.facebook.com/tango.andante/,FACEBOOK_PROFILE,PUBLIC_VIEW_PARTIAL,PROMPTED,BLOCKED_AUTOMATED_COLLECTION,AUTOMATED_COLLECTION_REQUIRES_PERMISSION,JS_HEAVY_IMAGE_HEAVY,UNKNOWN,unknown - no independent public source found this round either,NO,NO,NO,NO,NO,PROHIBITED,NO,DIRECTORY_MILTANG,OFFICIAL_REFERENCE_ONLY,REFERENCE_ONLY,FACEBOOK_ROBOTS_AND_TERMS_PROHIBIT_UNAUTHORIZED_AUTOMATION,"[v0.85.3 REVERIFIED 2026-09-08] Same as v0.85.1's CAND-TANGO-012. No Daum/Naver Cafe, WordPress, or independent site found for the studio itself or for its 'orange' milonga specifically this round. REFERENCE_ONLY unchanged."
CAND-TANGO-035,EN PAZ - no public source found,EN PAZ,서울,OFFICIAL_VENUE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,UNKNOWN,NO,DIRECTORY_MILTANG,NONE,REJECT,NO_PUBLIC_SOURCE_LOCATED,"[v0.85.3 REVERIFIED 2026-09-08] Section 13 target - highest-frequency remaining gap organizer (엔빠스, 9 aggregator-only events) after 오초/오나다. General web search found no official homepage, cafe, blog, or even a Facebook/Instagram page distinct from the venue's aggregator listings. Genuinely no source to classify beyond REJECT/no candidate."
CAND-TANGO-036,Tango O Nada academy-board cross-check,Tango O Nada,서울,OFFICIAL_VENUE,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO,NO,NO,NO,NO,UNKNOWN,YES_SRC-D-003_PARTIAL,DIRECTORY_MILTANG,NONE,MONITOR,VENUE_NOT_AN_INDEPENDENT_ACADEMY,"[v0.85.3 REVERIFIED 2026-09-08] Section 9/10 ownership-safety check: cross-referenced the curated 나무위키 탱고학원 (tango academy) index - neither OCHO nor O Nada appear as independent teaching academies with their own community board. Both are rented venues; recurring events held there (월나다, In the mood for Tango, 까사밀롱가, 무초밀롱가) are organized by OTHER communities (e.g. Solo Tango, already SRC-D-003; Milonga Casa, CAND-TANGO-032, private). SRC-D-003 must not be treated as a Tango O Nada venue-wide source - it covers only Solo Tango's own postings, already correctly scoped that way."
